"gene_id","baseMean_T24h","baseMean_T12h","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mper.PacBio.PsGc_5.g1298",119.192491306939,271.326611982357,156.438778728766,-1.17981871457415,0.265641038916608,-4.44140227498707,8.93745345930549e-06,0.000388779225479789
"Mper.PacBio.PsGc_1.g421",208.54940332207,442.298807993484,274.146521286571,-1.08370633028196,0.273923665287688,-3.95623477491001,7.61403350773423e-05,0.0029440929563239
"Mper.PacBio.PsGc_1.g1729",428.201957878513,787.41850917934,525.477794443924,-0.880088190118238,0.263053431674409,-3.34566321570575,0.000820860320514242,0.0259690355944506
"Mper.PacBio.PsGc_3.g1953",200.397789882271,363.483168228144,283.727995953156,-0.85659842500137,0.171375036180669,-4.99838508625209,5.78124427934442e-07,3.35312168201976e-05
