"gene_id","baseMean_T24h","baseMean_T12h","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mper.PacBio.PsGc_3.g615",175.310370709277,1.08605435630285,29.7630468187716,7.32043048203873,1.67508849675742,4.3701753645908,1.24146794917278e-05,0.0026815707702132
"Mper.PacBio.PsGc_1.g2668",6.25857764898666,0,1.67835864473407,4.84329206654211,1.43085522465617,3.38489316255314,0.000712059634735204,0.0279645238368735
"Mper.PacBio.PsGc_7.g379",27.8792858328883,1.01697071067722,5.06429040229156,4.6901747578477,1.10392081069746,4.24865145434159,2.15061225513044e-05,0.00309688164738784
"Mper.PacBio.PsGc_3.g1106",25.0847898633546,1.94137609815745,5.52839788756046,3.87031364179364,1.21788479465947,3.17789799065174,0.00148346934192961,0.0492968273625839
"Mper.PacBio.PsGc_9.g922",21.0459990892627,3.58993458522844,6.08225953776057,2.82740203226667,0.828053674209998,3.4145154116539,0.000638955786166944,0.027602889962412
"Mper.PacBio.PsGc_7.g431",171.138481879929,38.6560958819687,63.7732987542741,2.1939611405489,0.406951243659085,5.39121375037949,6.99833694973032e-08,3.0232815622835e-05
"Mper.PacBio.PsGc_9.g472",16.2496986945773,4.17298601693779,13.3432482180858,2.04810428627504,0.532941148725623,3.84302148778059,0.00012152882384752,0.00875007531702143
"Mper.PacBio.PsGc_9.g970",874.002039217122,362.971541965803,469.295271589365,1.27255650867686,0.314014806199338,4.05253664334871,5.06652853684945e-05,0.0054718508197974
"Mper.PacBio.PsGc_7.g620",295.370655184258,151.246813516946,183.189835681103,0.970583651931036,0.273308350593043,3.55124038407534,0.000383420052229868,0.0236624946519004
"Mper.PacBio.PsGc_9.g1036",465.37120780702,244.886658520005,264.18422357204,0.93773794077104,0.273585498466502,3.42758642554973,0.000608972427208533,0.027602889962412
"Mper.PacBio.PsGc_5.g874",483.136848459097,292.157376804883,377.678584262555,0.732911001283525,0.213038843420194,3.44026934016884,0.000581135549294561,0.027602889962412
"Mper.PacBio.PsGc_2.g1124",3605.72451707903,2269.1663664279,2913.82258080209,0.669546948674253,0.168591541197014,3.97141484039123,7.14470409485422e-05,0.00617302433795405
"Mper.PacBio.PsGc_3.g1128",3200.01518569063,2204.78590664445,2776.69337753803,0.537820979719731,0.160303135315983,3.35502470778004,0.000793578962321711,0.0285688426435816
