"gene_id","baseMean_T48h","baseMean_T24h","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mper.PacBio.PsGc_0.g1035",0.808175166164403,0,0.805186912017969,1.70964899907836,2.18588626516952,0.782130811799473,0.434137700557321,1
"Mper.PacBio.PsGc_0.g1040",0,0,0.413441280051174,0,2.52943751535413,0,1,1
"Mper.PacBio.PsGc_0.g1093",3.01827381405241,1.17119921907686,0.967589446638002,0.912070179948494,2.22089539959844,0.410676783838359,0.681309552653208,1
"Mper.PacBio.PsGc_0.g1121",13.7268757335771,7.41567913315574,12.5603738754099,0.444787565406576,0.490135949970867,0.907477946543228,0.364154106517448,1
"Mper.PacBio.PsGc_0.g1149",0.135911286260538,1.91620911364021,0.75992543372596,-2.20507386468704,2.09178217490952,-1.05416036676114,0.291809502037986,1
"Mper.PacBio.PsGc_0.g1150",3.81314334714333,8.6051836443398,4.28205935188277,-1.42234428828585,1.40523801698415,-1.01217321983532,0.311455238316711,1
"Mper.PacBio.PsGc_0.g119",5.37835953062564,9.20986801691905,7.05350835582197,-1.0232702670896,1.34166584149507,-0.762686382437318,0.445650453736748,1
"Mper.PacBio.PsGc_0.g1281",5.95113825188904,2.11439379960157,1.61013628910257,1.35712879953012,1.51327545244801,0.896815445816363,0.369817404562059,1
"Mper.PacBio.PsGc_0.g132",0.568827144789797,1.70750838942658,1.19514559585013,-1.04454572162589,1.28551879392982,-0.812547997398563,0.416477257085056,1
"Mper.PacBio.PsGc_0.g1434",2.88236252779187,1.442756709064,1.14090011387274,0.344406159583762,2.06662513343853,0.166651490882977,0.867644276305347,1
"Mper.PacBio.PsGc_0.g1473",0.239348021374606,1.32212082497551,0.678408083156337,-1.51668534370938,2.38193421221868,-0.636745270263634,0.524290780630594,1
"Mper.PacBio.PsGc_0.g150",6.00407307695834,2.00265739661393,1.80746937577332,1.33848756949391,1.52240564292935,0.879192464708977,0.379296929413172,1
"Mper.PacBio.PsGc_0.g1505",1.33774452878187,0.529847850349455,0.774741769545791,0.331248268608427,1.96874319105732,0.168253670724078,0.86638371958781,1
"Mper.PacBio.PsGc_0.g1542",2.55585296947841,7.89951904401202,1.92453991169962,-1.4397135885785,1.40378593194326,-1.02559340125706,0.305083279152741,1
"Mper.PacBio.PsGc_0.g1570",32.9977121711948,4.34261767366706,7.65051047345134,2.8864890611084,1.00358839537739,2.87616823231895,0.00402535107767946,0.378946146851066
"Mper.PacBio.PsGc_0.g1587",1.66213051654876,3.66057614989183,1.77281557569297,-0.94461177736994,1.8511968192889,-0.510270851552561,0.609861720704205,1
"Mper.PacBio.PsGc_0.g1612",2.18660674351792,3.18968318601128,1.38466916008097,-0.366300576898872,1.77922295962542,-0.205876714279806,0.83688721512016,1
"Mper.PacBio.PsGc_0.g1613",5.75141942251026,8.30609152391505,4.70894234721222,-0.956330762909381,1.23832745642481,-0.772276151956136,0.439950886891182,1
"Mper.PacBio.PsGc_0.g1636",0.614607329009749,1.75744251519956,0.673232433359518,-1.00681599600628,2.25693621012255,-0.446098561178035,0.655526052098968,1
"Mper.PacBio.PsGc_0.g1637",0.465390409675729,0.979708737725452,0.787227474042563,-0.38863105019461,1.53784663646781,-0.252711187825097,0.800491401814482,1
"Mper.PacBio.PsGc_0.g1639",1.44118126389593,0.348873407250324,0.59185534834444,0.549110842419944,2.04547973231298,0.268450884037371,0.788352276536058,1
"Mper.PacBio.PsGc_0.g1646",3.06278960333341,3.73108625753046,2.73405103447134,-0.529494889186146,0.996295195732463,-0.531463858758115,0.595097379610294,1
"Mper.PacBio.PsGc_0.g1665",1.20183324252133,0.775062731763832,1.05730844967455,-0.847589289466818,2.3225005640259,-0.364946860549983,0.715151073477225,1
