"gene_id","baseMean_T10d","baseMean_T5d","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mper.PacBio.PsGc_4.g170",19.5754691727708,0.186613507604096,23.7308318330284,6.11724438848478,1.32271035269628,4.62478000267791,3.74996199678771e-06,0.000699992906067038
"Mper.PacBio.PsGc_3.g2212",9.71916873774414,0,7.18468604969938,5.68463524275665,1.22345796570655,4.64636742912028,3.37831064211874e-06,0.000699992906067038
"Mper.PacBio.PsGc_2.g1840",15.8982309151692,0.373227015208193,27.3976776837037,5.23993273459656,1.30237365305742,4.02337126699042,5.73709489883595e-05,0.00495892800407287
"Mper.PacBio.PsGc_1.g3370",21.8802743177575,0.546827847668918,20.1733256336408,5.18890262490826,1.04025994988661,4.988082666716,6.09814756594861e-07,0.000341496263693122
"Mper.PacBio.PsGc_3.g242",5.63118549336766,0,9.44923803727574,4.89599120945328,1.43571633846761,3.41013825522036,0.000649299557261247,0.0158090326985347
"Mper.PacBio.PsGc_1.g2860",8.24869640992889,0.186613507604096,11.9480448328676,4.87222808153579,1.15871259201481,4.20486332427248,2.61239973803225e-05,0.00365735963324515
"Mper.PacBio.PsGc_0.g1033",5.19526409966001,0,2.71070224622794,4.77973987232302,1.44962051227363,3.29723526388733,0.000976416752914163,0.0210305146781512
"Mper.PacBio.PsGc_4.g1184",6.85400135371483,0.180107170032411,7.42506736798869,4.60417361919062,1.22414144387086,3.7611451211322,0.000169137260117783,0.00701562073732694
"Mper.PacBio.PsGc_2.g735",4.27737618670436,0,6.20183339253879,4.5015478220086,1.30120554603257,3.45952093098127,0.000541137217684877,0.0139934210831159
"Mper.PacBio.PsGc_10.g368",5.85879007302772,0.280846736683336,6.7212969181719,4.37808417660696,1.16684947826755,3.75205564912039,0.000175390518433173,0.00701562073732694
"Mper.PacBio.PsGc_2.g521",8.38527846989817,0.460953906715747,9.74554879954487,4.31876333611008,1.17932728277392,3.66205666500976,0.000250198497620709,0.00875694741672483
"Mper.PacBio.PsGc_5.g781",3.71892937510549,0,5.02887672208079,4.29921071470976,1.27784142554821,3.36443210304075,0.000767013539071014,0.0178969825783237
"Mper.PacBio.PsGc_2.g669",11.1851008637466,0.546827847668918,7.89292671317372,4.2262617598165,1.11438766949624,3.79245201243746,0.00014916708203659,0.00701562073732694
"Mper.PacBio.PsGc_0.g2303",7.30399201011688,0.366720677636507,7.29059501452459,4.11809902082163,1.28031333217993,3.21647749602819,0.00129774711022194,0.0242246127241429
"Mper.PacBio.PsGc_10.g883",2.9935475807647,0,2.53602522418405,3.98765202248214,1.26761557215324,3.14578970950042,0.00165639055435651,0.0299218938851499
"Mper.PacBio.PsGc_5.g1029",11.6603808427855,0.774940392544003,10.9030989705208,3.86525706950896,1.0826377427345,3.57022198371378,0.000356678836555914,0.011458006044606
"Mper.PacBio.PsGc_5.g8",2.72349663711312,0,1.88509525835203,3.8494484063929,1.28492881403568,2.99584565646296,0.00273684921630486,0.0405830694879255
"Mper.PacBio.PsGc_0.g1150",3.69847687617156,0.186613507604096,4.8758745610528,3.71620830124028,1.23326864240721,3.01329991978605,0.00258423383062799,0.0401991929208799
"Mper.PacBio.PsGc_10.g1209",3.57690082725498,0.186613507604096,3.11703464460018,3.66605946800009,1.25833073559082,2.9134307573587,0.00357481106739779,0.0476641475653038
"Mper.PacBio.PsGc_3.g403",5.29674283540311,0.366720677636507,6.11734521921605,3.6550267579572,1.22080151701,2.99395659902941,0.00275385114382352,0.0405830694879255
"Mper.PacBio.PsGc_1.g1297",39.2039159718773,3.07600402501397,32.6423478148165,3.64841413000595,0.947520380123963,3.85048618112956,0.000117883581756974,0.00701562073732694
"Mper.PacBio.PsGc_10.g1420",27.9203860708628,2.24832944066172,26.8288215256357,3.59662404058535,1.07495634101537,3.34583266627189,0.00082035886718773,0.0183760386250051
"Mper.PacBio.PsGc_6.g59",5.00222952364978,0.467460244287433,5.99533077739586,3.57281918272689,1.22533388676267,2.91579235775996,0.00354786533512385,0.0476641475653038
"Mper.PacBio.PsGc_1.g229",30.9267285491621,2.59496636101071,24.458079108353,3.53417934309983,1.02283732157473,3.45527022582508,0.000549741542550982,0.0139934210831159
"Mper.PacBio.PsGc_1.g1709",13.5482747316396,1.10666837048121,12.4616116599702,3.52732483398626,0.944492052150526,3.73462627446663,0.000187994147960318,0.00701844819051853
"Mper.PacBio.PsGc_4.g707",27.4194074387473,2.51155343189841,24.9682982258448,3.42469090157378,0.961500309425373,3.56181986422916,0.000368293051433765,0.011458006044606
"Mper.PacBio.PsGc_4.g158",81.1162299982559,8.27312657584184,96.9808641833584,3.27736778851766,0.871833643300132,3.75916645761904,0.000170480389045759,0.00701562073732694
"Mper.PacBio.PsGc_2.g1725",68.7745133373124,7.151857869788,89.5249252767844,3.26042668929026,0.822042054239432,3.96625290941699,7.30113901159063e-05,0.00511079730811344
"Mper.PacBio.PsGc_7.g991",7.15165287221513,0.829570851620672,7.63817458269211,3.13488059691734,1.02992582000696,3.0437926072153,0.00233616130241434,0.0396439493743039
"Mper.PacBio.PsGc_1.g3056",21.7062116595971,2.42818381950015,14.5163544634799,3.10123660836799,0.774270425146538,4.0053662230235,6.19214703535416e-05,0.00495892800407287
"Mper.PacBio.PsGc_2.g517",11.8974197201122,1.9907076178022,12.4740963441931,2.65100042704473,0.807616575014762,3.28249878600655,0.00102891428689247,0.021340444468881
"Mper.PacBio.PsGc_4.g138",10.914888546006,1.84846901388029,10.1157390523475,2.57427067670555,0.851194957328948,3.02430207620545,0.00249207473308753,0.0398731957294005
