"gene_id","baseMean_T30d","baseMean_T20d","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mper.PacBio.PsGc_0.g1",7.42095539851287,4.02213288631476,1.98689602014273,0.881747406657918,1.14381559501512,0.770882483593223,0.440776590558266,1
"Mper.PacBio.PsGc_0.g1001",2.69546992469038,1.66696860670143,0.720781174614456,0.666943000264302,1.7119239611902,0.38958681307353,0.696842104828781,1
"Mper.PacBio.PsGc_0.g1007",0.618713327296143,0.300583220458497,0.318228171261001,0.793650226745397,2.54365984902057,0.31201114687209,0.755032051950173,1
"Mper.PacBio.PsGc_0.g1016",0.986976083207275,0.3814334887667,0.452025468218688,1.44850652725801,2.03536873078225,0.711667868996547,0.47667046893553,1
"Mper.PacBio.PsGc_0.g1023",0.297878594609307,0.367672594587004,0.273223425515679,0.00824770891427721,2.66287843690477,0.00309729081131621,0.997528723432581,1
"Mper.PacBio.PsGc_0.g1032",0.764202591433729,0.735345189174008,0.331451331289132,0.104357377992998,2.46779183769864,0.0422877555549083,0.96626930620742,1
"Mper.PacBio.PsGc_0.g1033",8.48277254140109,5.29687908253446,2.71070224622794,0.684560643642392,1.15163913549523,0.594422873053908,0.552229313789374,1
"Mper.PacBio.PsGc_0.g1034",3.19138608277164,1.25214649585231,1.18021153910256,1.30533853571486,1.31013701542754,0.996337421463425,0.319086227331675,1
"Mper.PacBio.PsGc_0.g1035",6.01404374348731,3.49418805046814,2.16856055091922,0.792550751919278,1.06849000140071,0.741748402774289,0.458239787544333,1
"Mper.PacBio.PsGc_0.g1036",1.57676062697753,1.40398178318943,0.509570166347508,0.150486739699418,2.23033402231711,0.0674727364572398,0.94620536570687,1
"Mper.PacBio.PsGc_0.g1040",1.751178674641,0.601166440916995,0.515975100788359,1.4943786674489,1.97081759497479,0.758253159125068,0.448299442836344,1
"Mper.PacBio.PsGc_0.g1043",0.911991877682693,0.345166871776359,0.543395756462871,1.38348651977428,1.75041584150869,0.790375913521124,0.429308264589366,1
"Mper.PacBio.PsGc_0.g1059",0.170745424326494,0.419029885713198,0.525758290647997,-0.568764815658434,1.874236574392,-0.303464793841695,0.761535673666325,1
"Mper.PacBio.PsGc_0.g1060",0.150089308360342,0.517964204816253,0.288590025618915,-1.05823641037295,2.62717530480345,-0.402803881582664,0.687092505421928,1
"Mper.PacBio.PsGc_0.g1068",0.691529532286755,0.861159887769996,0.423458975066995,-0.318283811576566,2.04190035201637,-0.1558762704861,0.876130550062272,1
"Mper.PacBio.PsGc_0.g1071",0.297878594609307,0,0.239325387122204,1.16239828984542,2.75330137555765,0.422183455892108,0.672891116250698,1
"Mper.PacBio.PsGc_0.g1076",4.93834965365589,1.43048138371244,1.07935602625253,1.80401016786367,1.39386569300201,1.29424963748001,0.195579206261808,1
"Mper.PacBio.PsGc_0.g1077",0.4686240189358,0.50223212181394,0.299365004994369,-0.034336034391568,2.64645912824127,-0.0129743301247907,0.989648272730787,1
"Mper.PacBio.PsGc_0.g1087",2.06359759392447,1.40398178318943,0.705204476834163,0.547865515617437,1.84450706389362,0.297025436411684,0.766447089552016,1
"Mper.PacBio.PsGc_0.g1098",1.7084938414831,0.464635724867442,0.512617135854504,1.78709584845302,1.70764743309886,1.04652506941084,0.295318676693534,1
"Mper.PacBio.PsGc_0.g11",2.84299516778452,1.84333230573895,0.72641118455926,0.621743249438511,1.59608757192377,0.389542065470205,0.696875199302371,1
"Mper.PacBio.PsGc_0.g1104",0.937248037871601,0.81854742527475,0.741577473802902,0.219338231316221,1.65550002971939,0.132490623605364,0.894596238925766,1
"Mper.PacBio.PsGc_0.g1113",6.10664385086077,4.75928714981548,2.07713225611833,0.375555897733201,0.980237491410027,0.383127457401145,0.70162526198841,1
"Mper.PacBio.PsGc_0.g1118",0.839318818535719,0.517964204816253,0.41048710047323,0.71445097087055,2.00162776412427,0.356934982455705,0.721140480119054,1
"Mper.PacBio.PsGc_0.g1121",30.6634457562046,37.1708583825561,23.6685191962463,-0.300457647076256,0.261169249036273,-1.15043271053142,0.249965694031006,1
"Mper.PacBio.PsGc_0.g1145",1.50381240040951,1.68648095285308,0.675362161325826,-0.156828239738657,1.47887112087321,-0.106045914025326,0.915545923417214,1
"Mper.PacBio.PsGc_0.g1150",16.5420998777356,8.43646677891691,4.8758745610528,0.971172675636645,0.821389519648817,1.18235338095362,0.237065512848302,1
"Mper.PacBio.PsGc_0.g116",0.787158729511259,0.712839466363363,0.357196032543765,0.190983127372459,1.97563374684658,0.0966692979795966,0.922989022270666,1
"Mper.PacBio.PsGc_0.g118",1.84083522641715,0.517964204816253,0.473616449523351,1.84166401655485,2.13740507711719,0.861635464550678,0.388888148861639,1
"Mper.PacBio.PsGc_0.g1183",1.42882819488493,0.150291610229249,0.54880153487087,2.56828724673446,1.89384988272052,1.35611975910419,0.175061067006075,1
"Mper.PacBio.PsGc_0.g119",11.9566202859784,7.37116077385348,5.84021562470078,0.686008324659069,0.807438543017623,0.849610574812623,0.395541630710018,1
"Mper.PacBio.PsGc_0.g1198",2.62252169812236,1.42627360884836,0.957490332155807,0.853931396226526,1.2951601485921,0.659324946922424,0.509687126023462,1
"Mper.PacBio.PsGc_0.g120",0.395818938211418,0.464635724867443,0.329587305389507,-0.409928063440916,2.42473921799277,-0.169060680999856,0.865748911708402,1
"Mper.PacBio.PsGc_0.g1203",0.673173438431981,0.473166656346677,0.373855611792296,0.451898299651824,2.09164235597133,0.216049506915808,0.828949157777219,1
"Mper.PacBio.PsGc_0.g1211",0.147789286248964,0.150291610229249,0.274377654606363,0.00831217187193713,2.68012989405052,0.00310140634988957,0.997525439723665,1
"Mper.PacBio.PsGc_0.g1229",0.866875000836003,0.150291610229249,0.571795698902983,1.82971745763776,1.72623185501816,1.05994884309357,0.289167873244241,1
"Mper.PacBio.PsGc_0.g124",0.784858707399881,0.76521894532594,0.355755348163479,0.0329100447803446,2.48213380416456,0.0132587714349354,0.98942134092369,1
"Mper.PacBio.PsGc_0.g1241",1.58733331664864,0.890652864952004,0.513154034589145,0.859979226404309,1.75469956606134,0.490100552275537,0.624062747309822,1
"Mper.PacBio.PsGc_0.g1272",1.209870472292,0.802815342272437,0.405743450894005,0.598023637597883,2.19553725103534,0.272381458030773,0.785328728260325,1
"Mper.PacBio.PsGc_0.g1281",0.320834732686836,0.450874830687746,1.02257115353089,-0.412712163761098,1.87718136411959,-0.21985737321373,0.82598223525929,1
"Mper.PacBio.PsGc_0.g1287",1.03532040305112,0.367672594587004,0.462053013115697,1.50565417060117,2.0056580203682,0.750703337912394,0.452831213749206,1
"Mper.PacBio.PsGc_0.g129",2.44269708266153,1.19277976251837,0.668360396442258,1.04831735053771,1.76240993480377,0.594820381930287,0.551963541877305,1
"Mper.PacBio.PsGc_0.g130",1.46033216794324,0.968839035503999,0.479511922855194,0.587554130730301,2.21871982761912,0.264816730538167,0.791150647785795,1
"Mper.PacBio.PsGc_0.g1308",0.170745424326494,0.164052504408945,0.277914810123271,0.00831217552301838,2.51089930014682,0.00331043762787792,0.997358657751627,1
"Mper.PacBio.PsGc_0.g132",1.36917099336408,1.54279581802527,1.38345200561505,-0.0922448069147998,1.04897509396338,-0.087938033462995,0.929925927351191,1
"Mper.PacBio.PsGc_0.g1322",3.43590985447198,2.95868268832286,1.29324621208853,0.222055313307937,1.32894500275618,0.167091424285732,0.867298113584518,1
"Mper.PacBio.PsGc_0.g1325",0.810114867588788,1.3640334184504,0.406020189277832,-0.727296165413651,2.13458072286729,-0.340720853337749,0.733313738354069,1
"Mper.PacBio.PsGc_0.g1328",3.01537723649143,2.10408254320948,1.07040963840131,0.50299900778441,1.60040444020773,0.314294933922528,0.753297045571122,1
"Mper.PacBio.PsGc_0.g133",1.43507600775433,1.63512366172688,0.530909882882388,-0.178244416332149,1.73176708170135,-0.102926322030001,0.918021446683507,1
"Mper.PacBio.PsGc_0.g1331",0.991576127430031,0.645750092234856,0.397176305225829,0.601324312759062,2.09072829786707,0.287614757676798,0.773641647021576,1
"Mper.PacBio.PsGc_0.g1416",0.818662702569568,0.450874830687746,0.408019018747495,0.778442637307433,2.11498154058048,0.368061196928358,0.712827603414586,1
"Mper.PacBio.PsGc_0.g1424",1.13706539156762,0.569321495942447,0.365380331870832,1.04880114612037,2.08106620489477,0.503972984450727,0.614280361429981,1
"Mper.PacBio.PsGc_0.g1441",0.489280134901952,1.31400590728036,0.756658376540591,-1.36719359125812,1.55092145828137,-0.881536317624457,0.378027606034723,1
"Mper.PacBio.PsGc_0.g1460",0.695997554932102,0.150291610229249,0.410820685925151,1.50565234898779,2.31448752825001,0.650533792301838,0.515347481119408,1
"Mper.PacBio.PsGc_0.g1464",0.447967902969649,1.59032611325731,0.351991678269887,-1.71751268347025,2.42766933882831,-0.707473895229565,0.479272029657631,1
"Mper.PacBio.PsGc_0.g1473",1.67389444700505,1.06580216578444,0.555825787414306,0.640709532802428,1.96563995204153,0.32595467554319,0.744458647564868,1
"Mper.PacBio.PsGc_0.g1480",0.225205535462332,0.351940511584692,0.263356553363631,-0.568763729428006,2.7078307206114,-0.210044049319148,0.833633293416118,1
"Mper.PacBio.PsGc_0.g1482",0.225205535462332,0.515993015993636,0.350789274872848,-1.08002004537965,2.24595126016975,-0.480874213315753,0.63060590097552,1
"Mper.PacBio.PsGc_0.g1497",2.24045880954296,0.58505357894476,0.506496151099962,1.99113713399978,2.09020116635391,0.952605503265058,0.340789987840224,1
