GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0006117,acetaldehyde metabolic process,1,1,0,5e-04,0.0127
GO:0046187,acetaldehyde catabolic process,1,1,0,5e-04,0.0127
GO:0000947,amino acid catabolic process to alcohol ...,2,1,0,0.00099,0.0127
GO:0000955,amino acid catabolic process via Ehrlich...,2,1,0,0.00099,0.0127
GO:0006115,ethanol biosynthetic process,2,1,0,0.00099,0.0127
GO:0032787,monocarboxylic acid metabolic process,135,2,0.07,0.00112,0.0127
GO:0006068,ethanol catabolic process,3,1,0,0.00149,0.0127
GO:0019655,glycolytic fermentation to ethanol,3,1,0,0.00149,0.0127
GO:0019660,glycolytic fermentation,3,1,0,0.00149,0.0127
GO:0006768,biotin metabolic process,4,1,0,0.00199,0.0127
GO:0009102,biotin biosynthetic process,4,1,0,0.00199,0.0127
GO:0019666,nitrogenous compound fermentation,4,1,0,0.00199,0.0127
GO:0034310,primary alcohol catabolic process,4,1,0,0.00199,0.0127
GO:0006567,threonine catabolic process,5,1,0,0.00248,0.0147
GO:0006116,NADH oxidation,6,1,0,0.00298,0.0152
GO:0009068,aspartate family amino acid catabolic pr...,6,1,0,0.00298,0.0152
GO:0006113,fermentation,7,1,0,0.00348,0.0152
GO:0034309,primary alcohol biosynthetic process,7,1,0,0.00348,0.0152
GO:0046185,aldehyde catabolic process,7,1,0,0.00348,0.0152
GO:0006067,ethanol metabolic process,8,1,0,0.00397,0.0157
GO:0017000,antibiotic biosynthetic process,8,1,0,0.00397,0.0157
GO:0046164,alcohol catabolic process,9,1,0,0.00447,0.0165
GO:0044572,[4Fe-4S] cluster assembly,10,1,0,0.00497,0.0165
GO:0097307,response to farnesol,10,1,0,0.00497,0.0165
GO:0097308,cellular response to farnesol,10,1,0,0.00497,0.0165
GO:0006566,threonine metabolic process,11,1,0.01,0.00546,0.0174
GO:0034308,primary alcohol metabolic process,13,1,0.01,0.00645,0.0184
GO:0046031,ADP metabolic process,14,1,0.01,0.00695,0.0184
GO:0097428,protein maturation by iron-sulfur cluste...,14,1,0.01,0.00695,0.0184
GO:1901616,organic hydroxy compound catabolic proce...,14,1,0.01,0.00695,0.0184
GO:0044283,small molecule biosynthetic process,336,2,0.17,0.00696,0.0184
