"gene_id","baseMean_T5d","baseMean_T48h","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mper.PacBio.PsGc_1.g618",0.175497099729143,12.7545308985409,15.8304655990793,-5.43077459151571,1.02989926466964,-5.27311240799628,1.34129352071839e-07,8.36296510167917e-05
"Mper.PacBio.PsGc_9.g184",0.502452943986735,16.7433285493889,11.4610792101822,-5.27538705759783,1.10116867510913,-4.79071660576887,1.66186710097688e-06,0.000518087068729541
"Mper.PacBio.PsGc_9.g479",0.502452943986735,13.8595197178066,15.6384436830884,-4.97973845046754,1.02630015633638,-4.85212675816391,1.2214451020563e-06,0.000507714014088067
"Mper.PacBio.PsGc_9.g134",0,5.39031784508369,5.07299577889553,-4.76951781230593,1.17308535247788,-4.06578924733088,4.78701813178082e-05,0.00852773087190097
"Mper.PacBio.PsGc_9.g100",0.186613507604096,7.39218394399555,5.55815329720608,-4.67153823756602,1.10532223677657,-4.22640392288637,2.37455588705017e-05,0.00592214238230312
"Mper.PacBio.PsGc_2.g1007",0.373227015208193,8.51797018922626,7.24951115824397,-4.29366731403842,1.11030460413361,-3.867107546932,0.000110133866055136,0.0149608532053719
"Mper.PacBio.PsGc_4.g842",0,3.59775871701664,2.94859699132329,-4.249579558148,1.20411992481962,-3.52919960093227,0.000416818621965866,0.0399825247378027
"Mper.PacBio.PsGc_4.g772",0.186613507604096,5.42547798407924,3.06836451298934,-4.24156048859192,1.23447588741913,-3.43592007897342,0.000590545152912846,0.0490939870454879
"Mper.PacBio.PsGc_9.g1252",0.397103307032542,6.99271035295428,4.54711910262975,-4.02953921535812,1.08189984454069,-3.72450299876771,0.000195700386168987,0.0203365317960606
"Mper.PacBio.PsGc_0.g1613",0,2.98281388432016,3.00588976087609,-3.94973506641275,1.14518537399778,-3.44899188908118,0.000562683603336763,0.0490939870454879
"Mper.PacBio.PsGc_9.g1036",426.903360715414,883.418489092599,601.357780857721,-1.0494272819188,0.196377383411778,-5.34393148379153,9.09519589151121e-08,8.36296510167917e-05
"Mper.PacBio.PsGc_7.g431",58.4030152553471,117.953011953293,97.6040637879831,-1.03425009247185,0.268903356127099,-3.84617770253117,0.000119974765079166,0.0149608532053719
"Mper.PacBio.PsGc_9.g1039",75.9103229689447,153.227827272052,103.741608950308,-1.00713029762137,0.265925393544672,-3.78726636142849,0.000152313793603726,0.0172668455112587
"Mper.PacBio.PsGc_9.g970",671.160705729382,1165.68877778541,937.663555806251,-0.797947957962623,0.195395959447018,-4.08374850852015,4.43149901596528e-05,0.00852773087190097
