GO.ID,Term,Annotated,Significant,Expected,Classic,p.adj
GO:0035635,entry of bacterium into host cell,1,1,0,0.0012,0.0309
GO:0044650,adhesion of symbiont to host cell,1,1,0,0.0012,0.0309
GO:0046166,glyceraldehyde-3-phosphate biosynthetic ...,1,1,0,0.0012,0.0309
GO:2000535,regulation of entry of bacterium into ho...,1,1,0,0.0012,0.0309
GO:0019405,alditol catabolic process,2,1,0,0.0025,0.0387
GO:0019563,glycerol catabolic process,2,1,0,0.0025,0.0387
GO:0000161,osmosensory signaling MAPK cascade,3,1,0,0.0037,0.0387
GO:0007234,osmosensory signaling via phosphorelay p...,4,1,0,0.005,0.0387
GO:0046174,polyol catabolic process,4,1,0,0.005,0.0387
GO:0046184,aldehyde biosynthetic process,4,1,0,0.005,0.0387
GO:0052372,modulation by symbiont of entry into hos...,4,1,0,0.005,0.0387
GO:0071474,cellular hyperosmotic response,5,1,0.01,0.0062,0.0387
GO:0006071,glycerol metabolic process,6,1,0.01,0.0074,0.0387
GO:0034088,maintenance of mitotic sister chromatid ...,6,1,0.01,0.0074,0.0387
GO:0048584,positive regulation of response to stimu...,120,2,0.15,0.0083,0.0387
GO:0000160,phosphorelay signal transduction system,7,1,0.01,0.0087,0.0387
GO:0019400,alditol metabolic process,7,1,0.01,0.0087,0.0387
GO:0006007,glucose catabolic process,8,1,0.01,0.0099,0.0387
GO:0006735,NADH regeneration,8,1,0.01,0.0099,0.0387
GO:0034086,maintenance of sister chromatid cohesion,8,1,0.01,0.0099,0.0387
GO:0035753,maintenance of DNA trinucleotide repeats,8,1,0.01,0.0099,0.0387
GO:0043903,regulation of biological process involve...,8,1,0.01,0.0099,0.0387
GO:0061615,glycolytic process through fructose-6-ph...,8,1,0.01,0.0099,0.0387
GO:0061620,glycolytic process through glucose-6-pho...,8,1,0.01,0.0099,0.0387
GO:0061621,canonical glycolysis,8,1,0.01,0.0099,0.0387
GO:0061718,glucose catabolic process to pyruvate,8,1,0.01,0.0099,0.0387
GO:0006972,hyperosmotic response,9,1,0.01,0.0111,0.0387
GO:0046164,alcohol catabolic process,9,1,0.01,0.0111,0.0387
