"gene_id","baseMean_T5d","baseMean_T48h","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mper.PacBio.PsGc_0.g1121",14.3032984721664,13.7268757335771,12.5603738754099,0.383345210772427,0.416263204800617,0.920920240730965,0.357092070212429,0.590295054840955
"Mper.PacBio.PsGc_0.g1150",1.10175311034954,3.81314334714333,4.28205935188277,-1.57481987089123,1.47058448739942,-1.07088024141757,0.284223281140291,0.538559367428454
"Mper.PacBio.PsGc_0.g119",0.13540606415707,5.37835953062564,7.05350835582197,-4.5584230821891,1.59652303294492,-2.8552191156182,0.00430071461243096,0.109797331432597
"Mper.PacBio.PsGc_0.g1281",0.538626381883225,5.95113825188904,1.61013628910257,-3.44876682044772,1.59017245937829,-2.16880049714614,0.0300978334908962,0.263757334317269
"Mper.PacBio.PsGc_0.g132",0.809357918181925,0.568827144789797,1.19514559585013,-0.00580720073876995,1.25823571938642,-0.00461535199588979,0.996317494973611,1
"Mper.PacBio.PsGc_0.g1434",0.270812128314141,2.88236252779187,1.14090011387274,-2.63344651955712,2.13094477440527,-1.23581171656224,0.216528558783062,0.478331270766218
"Mper.PacBio.PsGc_0.g150",0.292314600152172,6.00407307695834,1.80746937577332,-4.12220533514896,1.65185190623795,-2.49550538978835,0.0125777844441895,0.166824673313247
"Mper.PacBio.PsGc_0.g1542",0.335064614167286,2.55585296947841,1.92453991169962,-3.30782478653825,1.63243424830668,-2.02631425429199,0.0427325914579503,0.300986078964694
"Mper.PacBio.PsGc_0.g1570",0.201610158863077,32.9977121711948,7.65051047345134,-7.33264776240971,1.28867754808297,-5.69005626994723,1.26997515042796e-08,6.17207923107986e-06
"Mper.PacBio.PsGc_0.g1587",0.201610158863077,1.66213051654876,1.77281557569297,-3.31641955426216,2.01272312487174,-1.6477276547779,0.0994085704646419,0.411421671068028
"Mper.PacBio.PsGc_0.g1612",0.470470678324356,2.18660674351792,1.38466916008097,-2.44402396603522,1.88792356461652,-1.29455662922013,0.195473222090436,0.465910370952686
"Mper.PacBio.PsGc_0.g1613",0,5.75141942251026,4.70894234721222,-5.04093205213157,1.50754714639518,-3.34379728301391,0.00082640099485034,0.0401630883497265
"Mper.PacBio.PsGc_0.g1646",2.02456374556441,3.06278960333341,2.73405103447134,-0.360418528649573,0.969339070190547,-0.371818840004792,0.71002773547848,0.833737711187585
"Mper.PacBio.PsGc_0.g1868",0.361516569603236,2.39857334939436,2.03311190990637,-2.29848599628073,1.66246080587719,-1.38258056259435,0.166793512410955,0.461237846003238
