"gene_id","baseMean_T5d","baseMean_T48h","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mper.PacBio.PsGc_0.g1570",0.201610158863077,32.9977121711948,7.65051047345134,-7.33264776240971,1.28867754808297,-5.69005626994723,1.26997515042796e-08,6.17207923107986e-06
"Mper.PacBio.PsGc_0.g549",0.403220317726154,39.2518827830191,9.19133769388735,-7.0153670406138,1.51450357668072,-4.63212312511608,3.61934788016953e-06,0.000879501534881196
"Mper.PacBio.PsGc_1.g3351",0,8.77371380964326,1.6932083457606,-5.97640005833422,1.86883782769166,-3.19792331350447,0.00138421085060983,0.0499773005773099
"Mper.PacBio.PsGc_1.g352",0,8.88570749109511,2.25522389011767,-5.79287022926894,1.44351184536063,-4.01303962131443,5.99418472955509e-05,0.00582634755712755
"Mper.PacBio.PsGc_9.g1664",0,7.35901274994178,6.18317769629683,-5.78992438446063,1.50740775530209,-3.8409808919288,0.000122543654335749,0.00789527539334668
"Mper.PacBio.PsGc_0.g8",0.201610158863077,10.9397912826314,3.30908958215853,-5.69862024322206,1.48924044634731,-3.82652798424806,0.000129963380960439,0.00789527539334668
"Mper.PacBio.PsGc_9.g479",0.472422287177218,21.0237518495977,22.7661084648262,-5.44718833136028,1.28395584758801,-4.24250439888034,2.21039207427994e-05,0.00268562637025012
"Mper.PacBio.PsGc_1.g1900",0,6.03654762810481,2.65313316246064,-5.23390616806656,1.60765923723427,-3.25560669005373,0.00113150375685061,0.0458259021524496
"Mper.PacBio.PsGc_0.g1613",0,5.75141942251026,4.70894234721222,-5.04093205213157,1.50754714639518,-3.34379728301391,0.00082640099485034,0.0401630883497265
"Mper.PacBio.PsGc_9.g7",0.806440635452308,21.0766507828796,7.09361390337249,-4.96234140151876,1.16555389012623,-4.25749632304116,2.06729059457027e-05,0.00268562637025012
"Mper.PacBio.PsGc_7.g397",0.740236540746302,19.0425056073097,5.24008137639548,-4.75160842236225,1.19774820537334,-3.96711796439818,7.27469907327295e-05,0.00589250624935109
"Mper.PacBio.PsGc_9.g1333",0.201610158863077,4.20919267162203,3.10306692179057,-4.38750542229802,1.32477433942102,-3.3118888943875,0.000926683412942872,0.0409425580627487
"Mper.PacBio.PsGc_3.g923",0.789156641897038,5.9532417927862,3.61007239313018,-2.52905241694626,0.793658214043189,-3.18657625183809,0.0014396753252723,0.0499773005773099
