"gene_id","baseMean_T48h","baseMean_T24h","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mper.PacBio.PsGc_3.g615",0.558601021424067,101.592258890775,16.1605903077241,-7.62613662278165,1.31520289747659,-5.79844876970202,6.69311429126944e-09,6.57263823402659e-06
"Mper.PacBio.PsGc_7.g379",0.747572615318258,45.630896508026,7.28290956809693,-5.93320606846516,1.20388025917587,-4.92840215897118,8.29048334102352e-07,0.000407062732044255
"Mper.PacBio.PsGc_2.g978",0.302717285241656,8.70027067391081,3.64605651713914,-4.6465582380571,1.26668794848915,-3.66827381881964,0.000244193584181124,0.0263288676455985
"Mper.PacBio.PsGc_1.g1926",1.6387476731684,12.289942921757,5.11042350834829,-3.23750794429282,0.888374449714432,-3.64430555756474,0.000268114741808539,0.0263288676455985
"Mper.PacBio.PsGc_3.g1908",3.14233760230605,26.2692045386354,5.75831210354607,-3.0118083514409,0.785948903714961,-3.83206635597419,0.000127071452618651,0.0178263094959308
"Mper.PacBio.PsGc_0.g2716",2.73480555907551,19.8231898841753,4.25592787923759,-2.86385815456853,0.839109301088548,-3.41297391275886,0.000642580929846671,0.0485395748545716
"Mper.PacBio.PsGc_1.g618",12.7545308985409,55.4980699579186,15.8304655990793,-2.18340929829631,0.491400170593235,-4.44324082277063,8.861388516649e-06,0.00290062784111644
"Mper.PacBio.PsGc_9.g479",13.8595197178066,42.7467822613666,15.6384436830884,-1.68712040539376,0.487742242142228,-3.45904098440133,0.000542102409125168,0.0443620471467429
"Mper.PacBio.PsGc_7.g431",117.953011953293,226.494317375066,97.6040637879831,-0.917015674426642,0.261133281520318,-3.51167675406129,0.000445289244557273,0.0397521852868402
"Mper.PacBio.PsGc_3.g1953",335.053302030691,200.397789882271,283.727995953156,0.740439007720033,0.173264967982746,4.27344902054157,1.92472306115108e-05,0.00472519511512589
"Mper.PacBio.PsGc_5.g874",532.976960472082,354.872559076277,468.358970540857,0.58598858413893,0.159937450210965,3.66386098669189,0.000248441657775618,0.0263288676455985
"Mper.PacBio.PsGc_3.g1128",4387.36770414322,2975.24475992576,3729.80841334574,0.559844786554584,0.134733445220612,4.15520278307956,3.24999170059603e-05,0.0063829836999706
"Mper.PacBio.PsGc_2.g1124",4348.80340034474,2950.89379786124,3831.39400667262,0.558910274616189,0.138462223251506,4.03655424195358,5.42419892266455e-05,0.00887760557009431
